MSOA Code,Fatal,Serious,Slight,2011 Total
E02000245,0,2,30,32
E02000246,0,3,26,29
E02000247,0,0,28,28
E02000248,0,3,60,63
E02000249,0,1,35,36
E02000250,0,0,5,5
E02000251,0,1,8,9
E02000252,0,5,48,53
E02000253,0,0,13,13
E02000254,0,1,16,17
E02000255,0,0,24,24
E02000256,0,0,12,12
E02000257,0,4,54,58
E02000258,0,0,7,7
E02000259,0,2,6,8
E02000260,1,3,62,66
E02000261,0,2,30,32
E02000262,0,2,21,23
E02000263,0,2,24,26
E02000264,0,4,42,46
E02000265,0,1,22,23
E02000266,0,2,38,40
E02000267,0,1,31,32
E02000268,1,0,13,14
E02000269,0,1,12,13
E02000270,1,1,9,11
E02000271,0,2,6,8
E02000272,0,0,6,6
E02000274,0,3,25,28
E02000275,0,1,21,22
E02000276,0,2,9,11
E02006791,0,0,9,9
E02000277,0,1,20,21
E02000278,0,2,46,48
E02000279,1,2,14,17
E02000280,2,9,58,69
E02000281,0,2,22,24
E02000282,1,3,22,26
E02000283,0,0,18,18
E02000284,0,1,8,9
E02000285,1,1,21,23
E02000286,0,3,16,19
E02000287,1,2,19,22
E02000288,1,3,42,46
E02000289,0,1,5,6
E02000290,0,7,24,31
E02000291,0,1,23,24
E02000292,0,3,42,45
E02000293,1,0,4,5
E02000294,0,0,24,24
E02000295,0,1,7,8
E02000296,0,1,35,36
E02000297,0,2,22,24
E02000298,0,4,9,13
E02000299,0,0,27,27
E02000300,0,2,15,17
E02000301,1,1,20,22
E02000302,0,0,12,12
E02000303,0,1,40,41
E02000304,0,0,10,10
E02000305,0,1,29,30
E02000306,0,4,50,54
E02000307,0,3,35,38
E02000308,0,5,41,46
E02000309,1,7,71,79
E02000311,1,5,54,60
E02000312,1,4,44,49
E02006793,0,4,52,56
E02000313,0,1,11,12
E02000314,0,2,33,35
E02000315,0,1,9,10
E02000316,0,7,77,84
E02000317,0,2,8,10
E02000318,0,1,19,20
E02000319,0,2,32,34
E02000320,0,2,10,12
E02000321,0,0,10,10
E02000323,0,6,27,33
E02000324,0,1,9,10
E02000326,0,0,12,12
E02000327,0,5,37,42
E02000328,0,1,7,8
E02000329,0,3,19,22
E02000331,0,1,26,27
E02000332,0,2,4,6
E02000333,0,2,24,26
E02000334,0,0,8,8
E02000335,0,2,4,6
E02000337,0,6,34,40
E02000339,1,3,18,22
E02000340,0,5,60,65
E02000341,0,2,31,33
E02000342,0,2,9,11
E02000343,1,3,19,23
E02000344,0,1,25,26
E02006786,0,2,13,15
E02006927,0,4,46,50
E02006928,0,4,26,30
E02006929,0,10,40,50
E02006930,0,1,64,65
E02006931,0,8,59,67
E02000345,0,5,25,30
E02000346,0,9,36,45
E02000347,0,1,2,3
E02000348,0,2,26,28
E02000350,0,1,13,14
E02000351,0,4,29,33
E02000352,0,2,7,9
E02000353,0,5,31,36
E02000354,0,2,36,38
E02000355,0,2,11,13
E02000356,0,2,10,12
E02000357,0,0,1,1
E02000358,0,4,36,40
E02000359,0,2,11,13
E02000360,0,4,28,32
E02000361,1,6,46,53
E02000362,0,2,33,35
E02000363,1,5,22,28
E02000364,0,2,32,34
E02000365,1,13,69,83
E02000366,0,2,21,23
E02000367,0,2,36,38
E02000368,0,0,13,13
E02000369,0,7,21,28
E02000370,0,2,4,6
E02000371,0,15,117,132
E02006918,0,2,7,9
E02006921,0,0,14,14
E02000372,0,8,50,58
E02000373,0,0,13,13
E02000374,0,3,15,18
E02000375,0,6,54,60
E02000376,1,7,32,40
E02000377,0,2,40,42
E02000378,0,0,22,22
E02000379,0,1,14,15
E02000380,0,1,8,9
E02000381,0,2,16,18
E02000382,0,1,31,32
E02000383,0,4,35,39
E02000384,1,8,74,83
E02000385,1,4,19,24
E02000386,0,0,20,20
E02000387,0,0,9,9
E02000388,0,2,21,23
E02000389,0,2,23,25
E02000390,0,0,11,11
E02000391,0,5,51,56
E02000392,0,1,33,34
E02000393,0,0,5,5
E02000394,0,1,11,12
E02000395,0,10,30,40
E02000396,0,5,26,31
E02000397,0,6,9,15
E02000398,0,0,35,35
E02000400,0,1,34,35
E02000401,0,1,30,31
E02000402,0,0,21,21
E02000403,0,3,37,40
E02000404,0,0,22,22
E02000405,0,0,5,5
E02000406,0,2,19,21
E02000407,0,5,41,46
E02000408,0,0,14,14
E02000409,0,0,15,15
E02000410,0,2,10,12
E02000411,0,2,34,36
E02000412,0,9,79,88
E02000413,0,0,10,10
E02000414,0,0,6,6
E02000415,0,2,18,20
E02000416,0,2,17,19
E02000417,0,1,21,22
E02000418,0,0,11,11
E02000419,0,5,48,53
E02000420,1,1,36,38
E02000421,1,4,65,70
E02000422,0,1,19,20
E02000423,0,0,15,15
E02000424,0,0,9,9
