Code,Area,Year,Measure,Value
E02000456,Harrow 024,Year ending Dec 2011,Mean,289588
E02000457,Harrow 025,Year ending Dec 2011,Mean,351287
E02000459,Harrow 027,Year ending Dec 2011,Mean,264381
E02000460,Harrow 028,Year ending Dec 2011,Mean,232003
E02000461,Harrow 029,Year ending Dec 2011,Mean,406491
E02000462,Harrow 030,Year ending Dec 2011,Mean,249520
E02000463,Harrow 031,Year ending Dec 2011,Mean,259945
E02006795,Harrow 032,Year ending Dec 2011,Mean,277216
E02006882,Harrow 033,Year ending Dec 2011,Mean,318359
E02000464,Havering 001,Year ending Dec 2011,Mean,215729
E02000465,Havering 002,Year ending Dec 2011,Mean,168733
E02000466,Havering 003,Year ending Dec 2011,Mean,204612
E02000467,Havering 004,Year ending Dec 2011,Mean,147540
E02000468,Havering 005,Year ending Dec 2011,Mean,218736
E02000469,Havering 006,Year ending Dec 2011,Mean,172750
E02000470,Havering 007,Year ending Dec 2011,Mean,229208
E02000471,Havering 008,Year ending Dec 2011,Mean,292981
E02000472,Havering 009,Year ending Dec 2011,Mean,213411
E02000473,Havering 010,Year ending Dec 2011,Mean,253055
E02000474,Havering 011,Year ending Dec 2011,Mean,197293
E02000475,Havering 012,Year ending Dec 2011,Mean,332950
E02000476,Havering 013,Year ending Dec 2011,Mean,186525
E02000477,Havering 014,Year ending Dec 2011,Mean,289667
E02000478,Havering 015,Year ending Dec 2011,Mean,604991
E02000479,Havering 016,Year ending Dec 2011,Mean,207827
E02000480,Havering 017,Year ending Dec 2011,Mean,202087
E02000481,Havering 018,Year ending Dec 2011,Mean,256425
E02000482,Havering 019,Year ending Dec 2011,Mean,413124
E02000483,Havering 020,Year ending Dec 2011,Mean,234183
E02000484,Havering 021,Year ending Dec 2011,Mean,233433
E02000485,Havering 022,Year ending Dec 2011,Mean,257108
E02000486,Havering 023,Year ending Dec 2011,Mean,229587
E02000487,Havering 024,Year ending Dec 2011,Mean,430476
E02000488,Havering 025,Year ending Dec 2011,Mean,243738
E02000489,Havering 026,Year ending Dec 2011,Mean,206842
E02000490,Havering 027,Year ending Dec 2011,Mean,200494
E02000491,Havering 028,Year ending Dec 2011,Mean,188638
E02000492,Havering 029,Year ending Dec 2011,Mean,233559
E02000493,Havering 030,Year ending Dec 2011,Mean,179672
E02000494,Hillingdon 001,Year ending Dec 2011,Mean,676498
E02000495,Hillingdon 002,Year ending Dec 2011,Mean,330581
E02000496,Hillingdon 003,Year ending Dec 2011,Mean,282223
E02000497,Hillingdon 004,Year ending Dec 2011,Mean,329825
E02000498,Hillingdon 005,Year ending Dec 2011,Mean,348512
E02000499,Hillingdon 006,Year ending Dec 2011,Mean,391047
E02000500,Hillingdon 007,Year ending Dec 2011,Mean,443574
E02000501,Hillingdon 008,Year ending Dec 2011,Mean,317381
E02000502,Hillingdon 009,Year ending Dec 2011,Mean,343920
E02000503,Hillingdon 010,Year ending Dec 2011,Mean,273349
E02000504,Hillingdon 011,Year ending Dec 2011,Mean,403806
E02000506,Hillingdon 013,Year ending Dec 2011,Mean,387808
E02000507,Hillingdon 014,Year ending Dec 2011,Mean,252246
E02000508,Hillingdon 015,Year ending Dec 2011,Mean,231978
E02000509,Hillingdon 016,Year ending Dec 2011,Mean,221888
E02000510,Hillingdon 017,Year ending Dec 2011,Mean,295358
E02000511,Hillingdon 018,Year ending Dec 2011,Mean,220350
E02000512,Hillingdon 019,Year ending Dec 2011,Mean,222384
E02000513,Hillingdon 020,Year ending Dec 2011,Mean,198321
E02000514,Hillingdon 021,Year ending Dec 2011,Mean,216509
E02000515,Hillingdon 022,Year ending Dec 2011,Mean,193415
E02000516,Hillingdon 023,Year ending Dec 2011,Mean,227676
E02000517,Hillingdon 024,Year ending Dec 2011,Mean,226710
E02000518,Hillingdon 025,Year ending Dec 2011,Mean,236613
E02000519,Hillingdon 026,Year ending Dec 2011,Mean,230611
E02000520,Hillingdon 027,Year ending Dec 2011,Mean,242433
E02000521,Hillingdon 028,Year ending Dec 2011,Mean,197118
E02000522,Hillingdon 029,Year ending Dec 2011,Mean,239147
E02000523,Hillingdon 030,Year ending Dec 2011,Mean,196563
E02000524,Hillingdon 031,Year ending Dec 2011,Mean,251491
E02000525,Hillingdon 032,Year ending Dec 2011,Mean,200336
E02006796,Hillingdon 033,Year ending Dec 2011,Mean,260398
E02000526,Hounslow 001,Year ending Dec 2011,Mean,859667
E02000528,Hounslow 003,Year ending Dec 2011,Mean,289761
E02000529,Hounslow 004,Year ending Dec 2011,Mean,245913
E02000530,Hounslow 005,Year ending Dec 2011,Mean,188470
E02000531,Hounslow 006,Year ending Dec 2011,Mean,325522
E02000532,Hounslow 007,Year ending Dec 2011,Mean,744826
E02000533,Hounslow 008,Year ending Dec 2011,Mean,631514
E02000534,Hounslow 009,Year ending Dec 2011,Mean,354374
E02000535,Hounslow 010,Year ending Dec 2011,Mean,269262
E02000536,Hounslow 011,Year ending Dec 2011,Mean,274591
E02000537,Hounslow 012,Year ending Dec 2011,Mean,313054
E02000538,Hounslow 013,Year ending Dec 2011,Mean,256346
E02000539,Hounslow 014,Year ending Dec 2011,Mean,269202
E02000540,Hounslow 015,Year ending Dec 2011,Mean,266692
E02000541,Hounslow 016,Year ending Dec 2011,Mean,237306
E02000542,Hounslow 017,Year ending Dec 2011,Mean,217140
E02000543,Hounslow 018,Year ending Dec 2011,Mean,258653
E02000544,Hounslow 019,Year ending Dec 2011,Mean,270697
E02000545,Hounslow 020,Year ending Dec 2011,Mean,305271
E02000546,Hounslow 021,Year ending Dec 2011,Mean,229018
E02000547,Hounslow 022,Year ending Dec 2011,Mean,207582
E02000548,Hounslow 023,Year ending Dec 2011,Mean,192935
E02000549,Hounslow 024,Year ending Dec 2011,Mean,222780
E02000550,Hounslow 025,Year ending Dec 2011,Mean,188448
E02000551,Hounslow 026,Year ending Dec 2011,Mean,178831
E02000552,Hounslow 027,Year ending Dec 2011,Mean,195226
E02000553,Hounslow 028,Year ending Dec 2011,Mean,236901
E02006792,Hounslow 029,Year ending Dec 2011,Mean,509064
E02000554,Islington 001,Year ending Dec 2011,Mean,361917
E02000555,Islington 002,Year ending Dec 2011,Mean,516869
E02000556,Islington 003,Year ending Dec 2011,Mean,369009
E02000557,Islington 004,Year ending Dec 2011,Mean,391531
E02000558,Islington 005,Year ending Dec 2011,Mean,322518
E02000559,Islington 006,Year ending Dec 2011,Mean,500868
E02000560,Islington 007,Year ending Dec 2011,Mean,351129
E02000561,Islington 008,Year ending Dec 2011,Mean,586300
E02000562,Islington 009,Year ending Dec 2011,Mean,620242
E02000563,Islington 010,Year ending Dec 2011,Mean,349115
E02000564,Islington 011,Year ending Dec 2011,Mean,401016
E02000565,Islington 012,Year ending Dec 2011,Mean,382855
E02000566,Islington 013,Year ending Dec 2011,Mean,590379
E02000567,Islington 014,Year ending Dec 2011,Mean,488896
E02000568,Islington 015,Year ending Dec 2011,Mean,342011
E02000569,Islington 016,Year ending Dec 2011,Mean,669485
E02000570,Islington 017,Year ending Dec 2011,Mean,685256
E02000571,Islington 018,Year ending Dec 2011,Mean,496327
E02000572,Islington 019,Year ending Dec 2011,Mean,351581
E02000573,Islington 020,Year ending Dec 2011,Mean,698888
E02000574,Islington 021,Year ending Dec 2011,Mean,538908
E02000575,Islington 022,Year ending Dec 2011,Mean,522114
E02000576,Islington 023,Year ending Dec 2011,Mean,500062
E02000577,Kensington and Chelsea 001,Year ending Dec 2011,Mean,465328
E02000578,Kensington and Chelsea 002,Year ending Dec 2011,Mean,544668
E02000579,Kensington and Chelsea 003,Year ending Dec 2011,Mean,725106
E02000580,Kensington and Chelsea 004,Year ending Dec 2011,Mean,895425
E02000581,Kensington and Chelsea 005,Year ending Dec 2011,Mean,710911
E02000582,Kensington and Chelsea 006,Year ending Dec 2011,Mean,1243660
E02000583,Kensington and Chelsea 007,Year ending Dec 2011,Mean,1490851
E02000584,Kensington and Chelsea 008,Year ending Dec 2011,Mean,1741066
E02000585,Kensington and Chelsea 009,Year ending Dec 2011,Mean,1338730
E02000586,Kensington and Chelsea 010,Year ending Dec 2011,Mean,1521476
E02000587,Kensington and Chelsea 011,Year ending Dec 2011,Mean,1657207
E02000588,Kensington and Chelsea 012,Year ending Dec 2011,Mean,1862540
E02000589,Kensington and Chelsea 013,Year ending Dec 2011,Mean,1048072
E02000590,Kensington and Chelsea 014,Year ending Dec 2011,Mean,1353575
E02000591,Kensington and Chelsea 015,Year ending Dec 2011,Mean,623283
E02000592,Kensington and Chelsea 016,Year ending Dec 2011,Mean,1472874
E02000593,Kensington and Chelsea 017,Year ending Dec 2011,Mean,876914
E02000594,Kensington and Chelsea 018,Year ending Dec 2011,Mean,1370753
E02000595,Kensington and Chelsea 019,Year ending Dec 2011,Mean,1893169
E02000596,Kensington and Chelsea 020,Year ending Dec 2011,Mean,1207902
E02000597,Kensington and Chelsea 021,Year ending Dec 2011,Mean,884315
E02000598,Kingston upon Thames 001,Year ending Dec 2011,Mean,495921
E02000599,Kingston upon Thames 002,Year ending Dec 2011,Mean,960803
E02000600,Kingston upon Thames 003,Year ending Dec 2011,Mean,389218
E02000601,Kingston upon Thames 004,Year ending Dec 2011,Mean,393799
E02000602,Kingston upon Thames 005,Year ending Dec 2011,Mean,333320
E02000603,Kingston upon Thames 006,Year ending Dec 2011,Mean,303448
E02000604,Kingston upon Thames 007,Year ending Dec 2011,Mean,372480
E02000605,Kingston upon Thames 008,Year ending Dec 2011,Mean,370586
E02000606,Kingston upon Thames 009,Year ending Dec 2011,Mean,330848
E02000607,Kingston upon Thames 010,Year ending Dec 2011,Mean,382777
E02000608,Kingston upon Thames 011,Year ending Dec 2011,Mean,332554
E02000609,Kingston upon Thames 012,Year ending Dec 2011,Mean,368483
E02000610,Kingston upon Thames 013,Year ending Dec 2011,Mean,322353
E02000611,Kingston upon Thames 014,Year ending Dec 2011,Mean,412790
E02000612,Kingston upon Thames 015,Year ending Dec 2011,Mean,374560
E02000613,Kingston upon Thames 016,Year ending Dec 2011,Mean,352625
E02000614,Kingston upon Thames 017,Year ending Dec 2011,Mean,264644
E02000615,Kingston upon Thames 018,Year ending Dec 2011,Mean,257054
E02000616,Kingston upon Thames 019,Year ending Dec 2011,Mean,241858
E02000617,Kingston upon Thames 020,Year ending Dec 2011,Mean,255531
E02000619,Lambeth 002,Year ending Dec 2011,Mean,349427
E02000620,Lambeth 003,Year ending Dec 2011,Mean,461047
E02000621,Lambeth 004,Year ending Dec 2011,Mean,467937
E02000622,Lambeth 005,Year ending Dec 2011,Mean,432202
E02000623,Lambeth 006,Year ending Dec 2011,Mean,383902
E02000624,Lambeth 007,Year ending Dec 2011,Mean,345856
E02000625,Lambeth 008,Year ending Dec 2011,Mean,275804
E02000626,Lambeth 009,Year ending Dec 2011,Mean,263730
E02000627,Lambeth 010,Year ending Dec 2011,Mean,372048
E02000628,Lambeth 011,Year ending Dec 2011,Mean,238029
E02000629,Lambeth 012,Year ending Dec 2011,Mean,398277
E02000630,Lambeth 013,Year ending Dec 2011,Mean,582313
E02000631,Lambeth 014,Year ending Dec 2011,Mean,407717
E02000632,Lambeth 015,Year ending Dec 2011,Mean,377159
E02000633,Lambeth 016,Year ending Dec 2011,Mean,312747
E02000634,Lambeth 017,Year ending Dec 2011,Mean,387800
E02000635,Lambeth 018,Year ending Dec 2011,Mean,414811
E02000636,Lambeth 019,Year ending Dec 2011,Mean,644562
E02000637,Lambeth 020,Year ending Dec 2011,Mean,315800
E02000638,Lambeth 021,Year ending Dec 2011,Mean,271014
E02000639,Lambeth 022,Year ending Dec 2011,Mean,216392
E02000640,Lambeth 023,Year ending Dec 2011,Mean,475438
E02000641,Lambeth 024,Year ending Dec 2011,Mean,202658
E02000642,Lambeth 025,Year ending Dec 2011,Mean,367094
E02000643,Lambeth 026,Year ending Dec 2011,Mean,364627
E02000644,Lambeth 027,Year ending Dec 2011,Mean,306356
E02000645,Lambeth 028,Year ending Dec 2011,Mean,370742
E02000646,Lambeth 029,Year ending Dec 2011,Mean,315152
E02000647,Lambeth 030,Year ending Dec 2011,Mean,311722
E02000648,Lambeth 031,Year ending Dec 2011,Mean,216523
E02000649,Lambeth 032,Year ending Dec 2011,Mean,262863
E02000650,Lambeth 033,Year ending Dec 2011,Mean,278068
E02000651,Lambeth 034,Year ending Dec 2011,Mean,264277
E02000652,Lambeth 035,Year ending Dec 2011,Mean,239218
E02006801,Lambeth 036,Year ending Dec 2011,Mean,446326
E02000653,Lewisham 001,Year ending Dec 2011,Mean,239886
E02000654,Lewisham 002,Year ending Dec 2011,Mean,163653
E02000655,Lewisham 003,Year ending Dec 2011,Mean,231047
E02000657,Lewisham 005,Year ending Dec 2011,Mean,272298
E02000658,Lewisham 006,Year ending Dec 2011,Mean,319665
E02000659,Lewisham 007,Year ending Dec 2011,Mean,411902
E02000660,Lewisham 008,Year ending Dec 2011,Mean,276402
E02000661,Lewisham 009,Year ending Dec 2011,Mean,437143
E02000662,Lewisham 010,Year ending Dec 2011,Mean,261700
E02000663,Lewisham 011,Year ending Dec 2011,Mean,280501
E02000664,Lewisham 012,Year ending Dec 2011,Mean,209872
E02000665,Lewisham 013,Year ending Dec 2011,Mean,331173
E02000666,Lewisham 014,Year ending Dec 2011,Mean,320112
E02000667,Lewisham 015,Year ending Dec 2011,Mean,303148
E02000668,Lewisham 016,Year ending Dec 2011,Mean,300993
E02000669,Lewisham 017,Year ending Dec 2011,Mean,223969
E02000670,Lewisham 018,Year ending Dec 2011,Mean,208225
E02000671,Lewisham 019,Year ending Dec 2011,Mean,282286
E02000672,Lewisham 020,Year ending Dec 2011,Mean,228520
E02000673,Lewisham 021,Year ending Dec 2011,Mean,312338
E02000674,Lewisham 022,Year ending Dec 2011,Mean,232519
E02000675,Lewisham 023,Year ending Dec 2011,Mean,263187
E02000676,Lewisham 024,Year ending Dec 2011,Mean,286307
E02000677,Lewisham 025,Year ending Dec 2011,Mean,284614
E02000678,Lewisham 026,Year ending Dec 2011,Mean,165784
E02000679,Lewisham 027,Year ending Dec 2011,Mean,278431
E02000680,Lewisham 028,Year ending Dec 2011,Mean,277382
E02000681,Lewisham 029,Year ending Dec 2011,Mean,217656
E02000682,Lewisham 030,Year ending Dec 2011,Mean,215270
E02000683,Lewisham 031,Year ending Dec 2011,Mean,180738
E02000685,Lewisham 033,Year ending Dec 2011,Mean,282467
E02000686,Lewisham 034,Year ending Dec 2011,Mean,182724
E02000687,Lewisham 035,Year ending Dec 2011,Mean,274529
E02006783,Lewisham 037,Year ending Dec 2011,Mean,179508
E02006784,Lewisham 038,Year ending Dec 2011,Mean,203485
E02006798,Lewisham 039,Year ending Dec 2011,Mean,207485
E02000689,Merton 001,Year ending Dec 2011,Mean,721751
E02000690,Merton 002,Year ending Dec 2011,Mean,1633821
E02000691,Merton 003,Year ending Dec 2011,Mean,566541
E02000692,Merton 004,Year ending Dec 2011,Mean,790078
E02000693,Merton 005,Year ending Dec 2011,Mean,266791
E02000694,Merton 006,Year ending Dec 2011,Mean,426160
E02000695,Merton 007,Year ending Dec 2011,Mean,263159
E02000696,Merton 008,Year ending Dec 2011,Mean,211648
E02000697,Merton 009,Year ending Dec 2011,Mean,452006
E02000698,Merton 010,Year ending Dec 2011,Mean,779649
E02000699,Merton 011,Year ending Dec 2011,Mean,410638
E02000700,Merton 012,Year ending Dec 2011,Mean,216653
E02000701,Merton 013,Year ending Dec 2011,Mean,214003
E02000702,Merton 014,Year ending Dec 2011,Mean,204871
E02000703,Merton 015,Year ending Dec 2011,Mean,496489
E02000704,Merton 016,Year ending Dec 2011,Mean,304246
E02000705,Merton 017,Year ending Dec 2011,Mean,227321
E02000706,Merton 018,Year ending Dec 2011,Mean,188747
E02000707,Merton 019,Year ending Dec 2011,Mean,200622
E02000708,Merton 020,Year ending Dec 2011,Mean,311796
E02000709,Merton 021,Year ending Dec 2011,Mean,303165
E02000710,Merton 022,Year ending Dec 2011,Mean,211281
E02000711,Merton 023,Year ending Dec 2011,Mean,212229
E02000712,Merton 024,Year ending Dec 2011,Mean,218551
E02000713,Merton 025,Year ending Dec 2011,Mean,263214
E02000714,Newham 001,Year ending Dec 2011,Mean,230875
E02000715,Newham 002,Year ending Dec 2011,Mean,193739
E02000716,Newham 003,Year ending Dec 2011,Mean,230204
E02000717,Newham 004,Year ending Dec 2011,Mean,203717
E02000718,Newham 005,Year ending Dec 2011,Mean,178646
E02000719,Newham 006,Year ending Dec 2011,Mean,213514
E02000720,Newham 007,Year ending Dec 2011,Mean,239967
E02000721,Newham 008,Year ending Dec 2011,Mean,202573
E02000722,Newham 009,Year ending Dec 2011,Mean,238168
E02000723,Newham 010,Year ending Dec 2011,Mean,220889
E02000724,Newham 011,Year ending Dec 2011,Mean,208032
E02000725,Newham 012,Year ending Dec 2011,Mean,222389
E02000726,Newham 013,Year ending Dec 2011,Mean,237286
E02000727,Newham 014,Year ending Dec 2011,Mean,202750
E02000728,Newham 015,Year ending Dec 2011,Mean,216564
E02000729,Newham 016,Year ending Dec 2011,Mean,232432
E02000730,Newham 017,Year ending Dec 2011,Mean,226583
E02000731,Newham 018,Year ending Dec 2011,Mean,197513
E02000732,Newham 019,Year ending Dec 2011,Mean,196545
E02000733,Newham 020,Year ending Dec 2011,Mean,219618
E02000734,Newham 021,Year ending Dec 2011,Mean,187087
E02000735,Newham 022,Year ending Dec 2011,Mean,180623
E02000736,Newham 023,Year ending Dec 2011,Mean,197400
E02000737,Newham 024,Year ending Dec 2011,Mean,192906
E02000738,Newham 025,Year ending Dec 2011,Mean,218468
E02000739,Newham 026,Year ending Dec 2011,Mean,200739
E02000740,Newham 027,Year ending Dec 2011,Mean,208760
E02000741,Newham 028,Year ending Dec 2011,Mean,193963
E02000742,Newham 029,Year ending Dec 2011,Mean,195853
E02000743,Newham 030,Year ending Dec 2011,Mean,164733
E02000744,Newham 031,Year ending Dec 2011,Mean,170632
E02000745,Newham 032,Year ending Dec 2011,Mean,202267
E02000746,Newham 033,Year ending Dec 2011,Mean,242064
E02000747,Newham 034,Year ending Dec 2011,Mean,239860
E02000748,Newham 035,Year ending Dec 2011,Mean,195724
E02000749,Newham 036,Year ending Dec 2011,Mean,175196
E02000750,Newham 037,Year ending Dec 2011,Mean,255058
E02000751,Redbridge 001,Year ending Dec 2011,Mean,482275
E02000752,Redbridge 002,Year ending Dec 2011,Mean,207750
E02000753,Redbridge 003,Year ending Dec 2011,Mean,237240
E02000754,Redbridge 004,Year ending Dec 2011,Mean,296913
E02000755,Redbridge 005,Year ending Dec 2011,Mean,266467
E02000756,Redbridge 006,Year ending Dec 2011,Mean,283396
E02000757,Redbridge 007,Year ending Dec 2011,Mean,316494
E02000758,Redbridge 008,Year ending Dec 2011,Mean,268495
E02000759,Redbridge 009,Year ending Dec 2011,Mean,307825
E02000760,Redbridge 010,Year ending Dec 2011,Mean,251951
E02000762,Redbridge 012,Year ending Dec 2011,Mean,306799
E02000763,Redbridge 013,Year ending Dec 2011,Mean,238292
E02000764,Redbridge 014,Year ending Dec 2011,Mean,335818
E02000765,Redbridge 015,Year ending Dec 2011,Mean,261131
E02000767,Redbridge 017,Year ending Dec 2011,Mean,261234
E02000768,Redbridge 018,Year ending Dec 2011,Mean,457934
E02000769,Redbridge 019,Year ending Dec 2011,Mean,206521
E02000770,Redbridge 020,Year ending Dec 2011,Mean,244658
E02000772,Redbridge 022,Year ending Dec 2011,Mean,269802
E02000773,Redbridge 023,Year ending Dec 2011,Mean,244571
E02000774,Redbridge 024,Year ending Dec 2011,Mean,227013
E02000776,Redbridge 026,Year ending Dec 2011,Mean,257395
E02000777,Redbridge 027,Year ending Dec 2011,Mean,359954
E02000779,Redbridge 029,Year ending Dec 2011,Mean,219115
E02000780,Redbridge 030,Year ending Dec 2011,Mean,215346
E02000781,Redbridge 031,Year ending Dec 2011,Mean,275585
E02000782,Redbridge 032,Year ending Dec 2011,Mean,215027
E02000783,Redbridge 033,Year ending Dec 2011,Mean,215594
E02006800,Redbridge 034,Year ending Dec 2011,Mean,230405
E02006924,Redbridge 035,Year ending Dec 2011,Mean,306757
E02006925,Redbridge 036,Year ending Dec 2011,Mean,333186
E02000784,Richmond upon Thames 001,Year ending Dec 2011,Mean,1027279
E02000785,Richmond upon Thames 002,Year ending Dec 2011,Mean,706664
E02000786,Richmond upon Thames 003,Year ending Dec 2011,Mean,677338
E02000787,Richmond upon Thames 004,Year ending Dec 2011,Mean,534632
E02000788,Richmond upon Thames 005,Year ending Dec 2011,Mean,663195
E02000789,Richmond upon Thames 006,Year ending Dec 2011,Mean,693474
E02000790,Richmond upon Thames 007,Year ending Dec 2011,Mean,590906
E02000791,Richmond upon Thames 008,Year ending Dec 2011,Mean,873609
E02000792,Richmond upon Thames 009,Year ending Dec 2011,Mean,663696
E02000793,Richmond upon Thames 010,Year ending Dec 2011,Mean,302243
E02000794,Richmond upon Thames 011,Year ending Dec 2011,Mean,455162
E02000795,Richmond upon Thames 012,Year ending Dec 2011,Mean,987279
E02000796,Richmond upon Thames 013,Year ending Dec 2011,Mean,306969
E02000797,Richmond upon Thames 014,Year ending Dec 2011,Mean,431972
E02000798,Richmond upon Thames 015,Year ending Dec 2011,Mean,357864
E02000799,Richmond upon Thames 016,Year ending Dec 2011,Mean,540055
E02000800,Richmond upon Thames 017,Year ending Dec 2011,Mean,353079
E02000801,Richmond upon Thames 018,Year ending Dec 2011,Mean,450112
E02000802,Richmond upon Thames 019,Year ending Dec 2011,Mean,505448
E02000803,Richmond upon Thames 020,Year ending Dec 2011,Mean,334991
E02000804,Richmond upon Thames 021,Year ending Dec 2011,Mean,491067
E02000805,Richmond upon Thames 022,Year ending Dec 2011,Mean,489545
E02000806,Richmond upon Thames 023,Year ending Dec 2011,Mean,432492
E02000807,Southwark 001,Year ending Dec 2011,Mean,360163
E02000808,Southwark 002,Year ending Dec 2011,Mean,731437
E02000809,Southwark 003,Year ending Dec 2011,Mean,547243
E02000810,Southwark 004,Year ending Dec 2011,Mean,304694
E02000812,Southwark 006,Year ending Dec 2011,Mean,353300
E02000813,Southwark 007,Year ending Dec 2011,Mean,332354
E02000814,Southwark 008,Year ending Dec 2011,Mean,326612
E02000815,Southwark 009,Year ending Dec 2011,Mean,324539
E02000816,Southwark 010,Year ending Dec 2011,Mean,251303
E02000817,Southwark 011,Year ending Dec 2011,Mean,207337
E02000818,Southwark 012,Year ending Dec 2011,Mean,273104
E02000819,Southwark 013,Year ending Dec 2011,Mean,234607
E02000820,Southwark 014,Year ending Dec 2011,Mean,338358
E02000821,Southwark 015,Year ending Dec 2011,Mean,308828
E02000822,Southwark 016,Year ending Dec 2011,Mean,207114
E02000823,Southwark 017,Year ending Dec 2011,Mean,294067
E02000824,Southwark 018,Year ending Dec 2011,Mean,199540
E02000825,Southwark 019,Year ending Dec 2011,Mean,188944
E02000826,Southwark 020,Year ending Dec 2011,Mean,313367
E02000827,Southwark 021,Year ending Dec 2011,Mean,281835
E02000828,Southwark 022,Year ending Dec 2011,Mean,235682
E02000829,Southwark 023,Year ending Dec 2011,Mean,260676
E02000830,Southwark 024,Year ending Dec 2011,Mean,415311
E02000831,Southwark 025,Year ending Dec 2011,Mean,387089
E02000832,Southwark 026,Year ending Dec 2011,Mean,296849
E02000833,Southwark 027,Year ending Dec 2011,Mean,282367
E02000834,Southwark 028,Year ending Dec 2011,Mean,403272
E02000835,Southwark 029,Year ending Dec 2011,Mean,337984
E02000836,Southwark 030,Year ending Dec 2011,Mean,535418
E02000837,Southwark 031,Year ending Dec 2011,Mean,887965
E02000838,Southwark 032,Year ending Dec 2011,Mean,357764
E02000839,Southwark 033,Year ending Dec 2011,Mean,440468
E02006802,Southwark 034,Year ending Dec 2011,Mean,384341
E02000840,Sutton 001,Year ending Dec 2011,Mean,180413
E02000841,Sutton 002,Year ending Dec 2011,Mean,189197
E02000842,Sutton 003,Year ending Dec 2011,Mean,261461
E02000843,Sutton 004,Year ending Dec 2011,Mean,186904
E02000844,Sutton 005,Year ending Dec 2011,Mean,214656
E02000845,Sutton 006,Year ending Dec 2011,Mean,324091
E02000846,Sutton 007,Year ending Dec 2011,Mean,244652
E02000847,Sutton 008,Year ending Dec 2011,Mean,276416
E02000848,Sutton 009,Year ending Dec 2011,Mean,266545
E02000849,Sutton 010,Year ending Dec 2011,Mean,227299
E02000850,Sutton 011,Year ending Dec 2011,Mean,239094
E02000851,Sutton 012,Year ending Dec 2011,Mean,182780
E02000852,Sutton 013,Year ending Dec 2011,Mean,225746
E02000853,Sutton 014,Year ending Dec 2011,Mean,228396
E02000854,Sutton 015,Year ending Dec 2011,Mean,275310
E02000855,Sutton 016,Year ending Dec 2011,Mean,386844
E02000856,Sutton 017,Year ending Dec 2011,Mean,218480
E02000857,Sutton 018,Year ending Dec 2011,Mean,218713
E02000858,Sutton 019,Year ending Dec 2011,Mean,211157
E02000859,Sutton 020,Year ending Dec 2011,Mean,282953
E02000860,Sutton 021,Year ending Dec 2011,Mean,214539
E02000861,Sutton 022,Year ending Dec 2011,Mean,440508
E02000863,Sutton 024,Year ending Dec 2011,Mean,369283
E02006836,Sutton 025,Year ending Dec 2011,Mean,507730
E02000864,Tower Hamlets 001,Year ending Dec 2011,Mean,231523
E02000865,Tower Hamlets 002,Year ending Dec 2011,Mean,273462
E02000866,Tower Hamlets 003,Year ending Dec 2011,Mean,398431
E02000867,Tower Hamlets 004,Year ending Dec 2011,Mean,273578
E02000868,Tower Hamlets 005,Year ending Dec 2011,Mean,292785
E02000869,Tower Hamlets 006,Year ending Dec 2011,Mean,384058
E02000870,Tower Hamlets 007,Year ending Dec 2011,Mean,283069
E02000871,Tower Hamlets 008,Year ending Dec 2011,Mean,241913
E02000872,Tower Hamlets 009,Year ending Dec 2011,Mean,329895
E02000873,Tower Hamlets 010,Year ending Dec 2011,Mean,288527
E02000874,Tower Hamlets 011,Year ending Dec 2011,Mean,276778
E02000875,Tower Hamlets 012,Year ending Dec 2011,Mean,248091
E02000876,Tower Hamlets 013,Year ending Dec 2011,Mean,253167
E02000877,Tower Hamlets 014,Year ending Dec 2011,Mean,292773
E02000878,Tower Hamlets 015,Year ending Dec 2011,Mean,432000
E02000879,Tower Hamlets 016,Year ending Dec 2011,Mean,314611
E02000880,Tower Hamlets 017,Year ending Dec 2011,Mean,272847
E02000881,Tower Hamlets 018,Year ending Dec 2011,Mean,220321
E02000882,Tower Hamlets 019,Year ending Dec 2011,Mean,261149
E02000883,Tower Hamlets 020,Year ending Dec 2011,Mean,239490
E02000884,Tower Hamlets 021,Year ending Dec 2011,Mean,336677
E02000885,Tower Hamlets 022,Year ending Dec 2011,Mean,258780
E02000886,Tower Hamlets 023,Year ending Dec 2011,Mean,359787
E02000887,Tower Hamlets 024,Year ending Dec 2011,Mean,246681
E02000888,Tower Hamlets 025,Year ending Dec 2011,Mean,393596
E02000889,Tower Hamlets 026,Year ending Dec 2011,Mean,376383
E02000890,Tower Hamlets 027,Year ending Dec 2011,Mean,625076
E02000891,Tower Hamlets 028,Year ending Dec 2011,Mean,374637
E02000893,Tower Hamlets 030,Year ending Dec 2011,Mean,321578
E02000894,Tower Hamlets 031,Year ending Dec 2011,Mean,323623
E02006853,Tower Hamlets 032,Year ending Dec 2011,Mean,342549
E02006854,Tower Hamlets 033,Year ending Dec 2011,Mean,486192
E02000895,Waltham Forest 001,Year ending Dec 2011,Mean,294813
E02000896,Waltham Forest 002,Year ending Dec 2011,Mean,312398
E02000897,Waltham Forest 003,Year ending Dec 2011,Mean,275488
E02000898,Waltham Forest 004,Year ending Dec 2011,Mean,254296
E02000899,Waltham Forest 005,Year ending Dec 2011,Mean,233508
E02000900,Waltham Forest 006,Year ending Dec 2011,Mean,218968
E02000901,Waltham Forest 007,Year ending Dec 2011,Mean,283461
